ID,Name,Company,Version,Plugin Name,Plugin Type,Instrument Type,Synthesis Type,Gentle/ Aggressive,Acoustic/Electronic,Vintage/Modern,Quiet/Loud,Warm/Clean,Dark/Bright,Static/Dynamic,Thin/Thick,Low/Mid/High,Slow/Fast,Single/Split,One_Shot/Sequential,Atonal/Tonal,Monophonic/Polyphonic,특징
46,CONTROL pad jp [AF],Xfer,,Serum,VST,Misc,,Gentle,Electronic,Vintage,Quiet,Warm,Dark,Static,Thick,Low,,Single,One_Shot,,,
47,HV Hoover [7S],Xfer,,Serum,VST,Misc,,Gentle,Electronic,Vintage,Loud,Clean,Dark,Dynamic,Thin,Mid,,Single,One_Shot,,,
48,HV Whoever [SD],Xfer,,Serum,VST,Misc,,Aggressive,Electronic,Modern,Loud,Clean,Bright,Dynamic,Thick,High,,Single,One_Shot,,,
49,INIT TableAnim [SD],Xfer,,Serum,VST,Misc,,Gentle,Acoustic,Vintage,Quiet,Warm,Dark,Static,Thick,Low,,Single,One_Shot,,,
50,KY Let's Get Nutz [FP],Xfer,,Serum,VST,Misc,,Gentle,Acoustic,Vintage,Quiet,Clean,Bright,Static,Thick,High,,Single,One_Shot,,,
51,KY punchOrgan [GS],Xfer,,Serum,VST,Misc,,Gentle,Acoustic,Vintage,Quiet,Warm,Dark,Static,Thin,Low,Fast,Single,One_Shot,Tonal,,organ
52,KY WurlyKeys [ASL],Xfer,,Serum,VST,Misc,,Gentle,Acoustic,Vintage,Quiet,Warm,Bright,Static,Thin,Low,Fast,Single,One_Shot,Tonal,,
53,MID CalyxTeeBee [BR],Xfer,,Serum,VST,Misc,,Aggressive,Electronic,Modern,Quiet,Warm,Dark,Dynamic,Thick,Low,Slow,Single,One_Shot,Tonal,,
54,MID Fenugreek [BR],Xfer,,Serum,VST,Misc,,Aggressive,Electronic,Modern,Quiet,Warm,Bright,Dynamic,Thick,Low,Slow,Single,One_Shot,Tonal,,Vox synth
55,PR 808 Kick Circuit [SD],Xfer,,Serum,VST,Misc,,Gentle,Electronic,Vintage,Quiet,Warm,Dark,Static,Thin,Low,Fast,Single,One_Shot,Tonal,,808 bass
56,PR Dirty Kick [SN],Xfer,,Serum,VST,Misc,,Aggressive,Electronic,Vintage,Loud,Warm,Both,Static,Thick,Low,Fast,Single,One_Shot,Tonal,Polyphonic,Deep House Kick drum with high resonance
57,PR gamelan tweak [GS],Xfer,,Serum,VST,Misc,,Gentle,Acoustic,Vintage,Quiet,Clean,Bright,Static,Thin,Mid,Fast,Single,One_shot,,,
58,PR Kicking [CFA],Xfer,,Serum,VST,Misc,,Aggressive,Electronic,Modern,Loud,Warm,Bright,Static,Thick,Low,Fast,Single,One_shot,Atonal,,
-59,PR mipkick [GS],Xfer,,Serum,VST,Misc,,Aggressive,Electronic,Modern,Loud,Warm,Dark,Dynamic,Thick,Mid,Fast,Single,One_shot,Tonal,,
60,PR SNARE 8X8 [ASL],Xfer,,Serum,VST,Misc,,Gentle,Electronic,modern,Quiet,Clean,Bright,Static,Thick,Mid,Fast,Single,One_Shot,Tonal,,
61,PD ArticWind [CFA],Xfer,,Serum,VST,Pads,,Gentle,Acoustic,Vintage,Quiet,Warm,Dark,Dynamic,Thick,Mid,,Single,One_Shot,,,
62,PD Beating Pad [AS],Xfer,,Serum,VST,Pads,,Gentle,Electronic,Vintage,Quiet,Warm,Bright,Dynamic,Thick,Mid,,Single,One_Shot,,,
63,PD BenjPad [GS],Xfer,,Serum,VST,Pads,,Gentle,Electronic,Vintage,Quiet,Clean,Bright,Dynamic,Thin,Mid,,Single,One_Shot,,,
64,PD Big Minor Seventh Pad [SN],Xfer,,Serum,VST,Pads,,Gentle,Electronic,Vintage,Loud,Warm,Bright,Dynamic,Thick,High,,Single,One_Shot,,,
65,PD Broken Bows [SW],Xfer,,Serum,VST,Pads,,Gentle,Acoustic,Vintage,Quiet,Clean,Bright,Static,Thick,High,,Single,One_Shot,,,
66,PD Celestial Light [SW],Xfer,,Serum,VST,Pads,,Gentle,Electronic,Modern,Quiet,Clean,Bright,Static,Thin,High,Slow,Single,One_Shot,Tonal,,톱에서 나는 소리
67,PD Centipad [7S],Xfer,,Serum,VST,Pads,,Gentle,Electronic,Vintage,Quiet,Warm,Bright,Static,Thin,Mid,Slow,Single,One_Shot,Tonal,,80S synth
68,PD ChampionBassPad [GS],Xfer,,Serum,VST,Pads,,Aggressive,Electronic,Vintage,Loud,Warm,Bright,Static,Thick,Mid,Slow,Single,One_Shot,Tonal,,
69,PD Circling Orch [GS],Xfer,,Serum,VST,Pads,,Gentle,Electronic,Vintage,Quiet,Warm,Dark,Static,Thin,Low,Slow,Single,One_Shot,Tonal,,
70,PD Defiant [BR],Xfer,,Serum,VST,Pads,,Gentle,Electronic,Modern,Quiet,Clean,Bright,Dynamic,Thin,Mid,Slow,Single,Sequential,Tonal,,
71,PD Don't Go In There [JL],Xfer,,Serum,VST,Pads,,Gentle,Electronic,Modern,Loud,Warm,Dark,Static,Thick,Mid,Slow,Single,One_Shot,,,
